timestamps,open,high,low,close,volume,amount
2021-06-01T13:30:00+00:00,162.1750030517578,162.5489959716797,160.4530029296875,160.9324951171875,48600000,7821319262.6953125
2021-06-02T13:30:00+00:00,161.15499877929688,161.75,160.39999389648438,161.69949340820312,40290000,6514872589.416504
2021-06-03T13:30:00+00:00,160.2115020751953,160.7220001220703,159.20150756835938,159.35049438476562,47966000,7643405813.659668
2021-06-04T13:30:00+00:00,160.60000610351562,161.0500030517578,159.9405059814453,160.31100463867188,44994000,7213033342.712402
2021-06-07T13:30:00+00:00,159.8665008544922,160.39999389648438,158.61000061035156,159.90049743652344,44316000,7086150444.396973
2021-06-08T13:30:00+00:00,161.1304931640625,163.97650146484375,160.90049743652344,163.20550537109375,68334000,11152485004.02832
2021-06-09T13:30:00+00:00,163.64349365234375,164.87899780273438,163.53500366210938,164.0574951171875,49110000,8056863585.205078
2021-06-10T13:30:00+00:00,164.10049438476562,167.5500030517578,164.0574951171875,167.4824981689453,69530000,11645058097.686768
2021-06-11T13:30:00+00:00,167.4824981689453,168.32899475097656,166.67250061035156,167.3415069580078,56348000,9429359234.069824
2021-06-14T13:30:00+00:00,167.3415069580078,169.25,166.77499389648438,169.19349670410156,51394000,8695530569.610596
2021-06-15T13:30:00+00:00,169.1999969482422,169.84950256347656,168.15550231933594,169.156494140625,48524000,8208149721.6796875
2021-06-16T13:30:00+00:00,169.60000610351562,171.3175048828125,168.02650451660156,170.7624969482422,84056000,14353612443.481445
2021-06-17T13:30:00+00:00,170.15899658203125,174.86000061035156,170.0500030517578,174.46200561523438,102730000,17922481836.853027
2021-06-18T13:30:00+00:00,173.99949645996094,175.35000610351562,173.6855010986328,174.34500122070312,104954000,18298205258.117676
2021-06-21T13:30:00+00:00,173.8209991455078,174.10000610351562,171.6999969482422,172.697998046875,65542000,11318972187.988281
2021-06-22T13:30:00+00:00,172.9029998779297,176.18899536132812,172.80450439453125,175.27200317382812,66902000,11726047556.33545
2021-06-23T13:30:00+00:00,175.25,176.0500030517578,174.16000366210938,175.1909942626953,56266000,9857296483.184814
2021-06-24T13:30:00+00:00,175.3820037841797,176.2429962158203,171.54249572753906,172.45399475097656,76640000,13216874157.714844
2021-06-25T13:30:00+00:00,173.1999969482422,173.24099731445312,169.70899963378906,170.072998046875,78820000,13405153706.054688
2021-06-28T13:30:00+00:00,170.8000030517578,172.39999389648438,170.67550659179688,172.1945037841797,44856000,7723956661.743164
2021-06-29T13:30:00+00:00,171.9409942626953,172.80149841308594,171.15150451660156,172.40699768066406,41968000,7235576878.662109
2021-06-30T13:30:00+00:00,172.05299377441406,173.5800018310547,171.75,172.00799560546875,48080000,8270144428.7109375
2021-07-01T13:30:00+00:00,171.73049926757812,172.85000610351562,170.4709930419922,171.64849853515625,40742000,6993303127.319336
2021-07-02T13:30:00+00:00,172.58200073242188,175.58599853515625,171.8459930419922,175.5489959716797,63388000,11127699756.652832
2021-07-06T13:30:00+00:00,176.5054931640625,184.2740020751953,176.4499969482422,183.78700256347656,134896000,24792131497.802734
2021-07-07T13:30:00+00:00,185.86900329589844,186.7100067138672,183.94549560546875,184.82899475097656,106562000,19695747338.653564
2021-07-08T13:30:00+00:00,182.17799377441406,187.99949645996094,181.05599975585938,186.57049560546875,103612000,19330942190.67383
2021-07-09T13:30:00+00:00,186.12600708007812,187.39999389648438,184.6699981689453,185.9669952392578,74964000,13940829831.115723
2021-07-12T13:30:00+00:00,187.1999969482422,187.864501953125,184.83949279785156,185.92750549316406,51432000,9562623462.524414
2021-07-13T13:30:00+00:00,185.10499572753906,188.6540069580078,183.5659942626953,183.8679962158203,76918000,14142758532.928467
2021-07-14T13:30:00+00:00,185.4425048828125,185.88299560546875,183.04150390625,184.08399963378906,65932000,12137026263.85498
2021-07-15T13:30:00+00:00,184.7100067138672,184.77000427246094,181.04600524902344,181.55999755859375,63706000,11566461204.467773
2021-07-16T13:30:00+00:00,181.66549682617188,182.30299377441406,178.5229949951172,178.68150329589844,80874000,14450687897.55249
2021-07-19T13:30:00+00:00,176.62899780273438,177.510498046875,174.95799255371094,177.47950744628906,75692000,13433778877.624512
2021-07-20T13:30:00+00:00,178.36599731445312,179.60000610351562,175.89999389648438,178.6595001220703,65114000,11633234690.948486
2021-07-21T13:30:00+00:00,178.81900024414062,179.32249450683594,177.1820068359375,179.25999450683594,46380000,8314078545.227051
2021-07-22T13:30:00+00:00,179.3614959716797,182.00100708007812,179.11349487304688,181.90150451660156,65308000,11879623456.970215
2021-07-23T13:30:00+00:00,182.0,183.3054962158203,181.1020050048828,182.83200073242188,48726000,8908672067.687988
2021-07-26T13:30:00+00:00,183.6584930419922,185.60400390625,182.3625030517578,184.99099731445312,58002000,10729847826.23291
2021-07-27T13:30:00+00:00,184.9250030517578,184.9250030517578,179.3074951171875,181.3195037841797,82638000,14983881153.717041
2021-07-28T13:30:00+00:00,181.68899536132812,182.92100524902344,180.0500030517578,181.51600646972656,59988000,10888782196.105957
2021-07-29T13:30:00+00:00,181.3874969482422,181.8975067138672,179.00050354003906,179.99600219726562,110400000,19871558642.578125
2021-07-30T13:30:00+00:00,167.3975067138672,168.40699768066406,165.3489990234375,166.37950134277344,199312000,33161431171.63086
2021-08-02T13:30:00+00:00,167.65499877929688,167.9459991455078,165.85000610351562,166.57400512695312,67078000,11173451115.905762
2021-08-03T13:30:00+00:00,167.03599548339844,169.5500030517578,164.98849487304688,168.31199645996094,83146000,13994469257.659912
2021-08-04T13:30:00+00:00,168.96749877929688,169.44400024414062,167.2779998779297,167.73599243164062,43678000,7326372677.429199
2021-08-05T13:30:00+00:00,167.81100463867188,169.4499969482422,167.04600524902344,168.79949951171875,48670000,8215471641.235352
2021-08-06T13:30:00+00:00,168.75,168.75,166.45199584960938,167.2469940185547,52752000,8822613428.466797
2021-08-09T13:30:00+00:00,167.1804962158203,167.74400329589844,166.42599487304688,167.093505859375,42964000,7179005385.7421875
2021-08-10T13:30:00+00:00,167.25050354003906,167.89999389648438,165.75,166.03399658203125,48252000,8011472403.076172
2021-08-11T13:30:00+00:00,166.57249450683594,166.88499450683594,163.88949584960938,164.60549926757812,58944000,9702506548.828125
2021-08-12T13:30:00+00:00,164.5,165.72549438476562,163.48350524902344,165.1750030517578,46282000,7644629491.241455
2021-08-13T13:30:00+00:00,165.2834930419922,165.30349731445312,164.14999389648438,164.69850158691406,41134000,6774708164.276123
2021-08-16T13:30:00+00:00,164.14999389648438,165.0,160.55650329589844,164.94949340820312,66394000,10951656665.344238
2021-08-17T13:30:00+00:00,163.875,164.02450561523438,161.28399658203125,162.09800720214844,67758000,10983436772.003174
2021-08-18T13:30:00+00:00,162.09950256347656,162.7050018310547,160.0,160.06100463867188,56086000,8977181506.16455
2021-08-19T13:30:00+00:00,159.7010040283203,161.64999389648438,159.1230010986328,159.3874969482422,75658000,12058939244.110107
2021-08-20T13:30:00+00:00,160.19349670410156,160.3905029296875,158.78799438476562,159.99749755859375,67168000,10746711916.015625
2021-08-23T13:30:00+00:00,160.59500122070312,164.0449981689453,160.50050354003906,163.2935028076172,65362000,10673189930.511475
2021-08-24T13:30:00+00:00,164.0,165.77450561523438,163.72900390625,165.28900146484375,51036000,8435689478.759766
2021-08-25T13:30:00+00:00,165.49349975585938,166.0500030517578,164.3074951171875,164.95899963378906,33606000,5543612141.693115
2021-08-26T13:30:00+00:00,164.9499969482422,166.60000610351562,164.8000030517578,165.8000030517578,41976000,6959620928.100586
2021-08-27T13:30:00+00:00,166.6614990234375,167.61599731445312,165.6875,167.48150634765625,48048000,8047151416.9921875
2021-08-30T13:30:00+00:00,167.8715057373047,172.25,167.76100158691406,171.07850646972656,63844000,10922336167.053223
2021-08-31T13:30:00+00:00,171.24000549316406,173.62899780273438,169.7794952392578,173.5395050048828,87128000,15120149992.06543
2021-09-01T13:30:00+00:00,174.82000732421875,176.35000610351562,173.76199340820312,173.9499969482422,72598000,12628421878.448486
2021-09-02T13:30:00+00:00,174.73800659179688,175.59800720214844,172.75,173.156005859375,58474000,10125124286.621094
2021-09-03T13:30:00+00:00,172.60000610351562,174.1334991455078,171.82200622558594,173.90249633789062,51514000,8958413196.350098
2021-09-07T13:30:00+00:00,173.89999389648438,176.4044952392578,173.8470001220703,175.46449279785156,54758000,9608084696.624756
2021-09-08T13:30:00+00:00,175.58250427246094,177.281494140625,174.7834930419922,176.27499389648438,61068000,10764761327.270508
2021-09-09T13:30:00+00:00,176.30099487304688,177.49949645996094,174.01849365234375,174.20799255371094,54384000,9474127467.041016
2021-09-10T13:30:00+00:00,175.0915069580078,175.42250061035156,173.14549255371094,173.45750427246094,47946000,8316593499.847412
2021-09-13T13:30:00+00:00,174.13999938964844,174.8979949951172,171.89999389648438,172.85850524902344,51380000,8881469999.694824
2021-09-14T13:30:00+00:00,173.77749633789062,174.3404998779297,171.885498046875,172.5,38738000,6682305000.0
2021-09-15T13:30:00+00:00,172.12600708007812,174.27099609375,170.10049438476562,173.7895050048828,59150000,10279649221.038818
2021-09-16T13:30:00+00:00,172.9980010986328,174.62750244140625,172.3070068359375,174.41200256347656,51672000,9012216996.45996
2021-09-17T13:30:00+00:00,174.42050170898438,174.87049865722656,172.60650634765625,173.12600708007812,92332000,15985070485.717773
2021-09-20T13:30:00+00:00,169.8000030517578,170.9499969482422,165.25050354003906,167.7864990234375,93382000,15668238851.80664
2021-09-21T13:30:00+00:00,168.75,168.98500061035156,166.6195068359375,167.18150329589844,55618000,9298300850.31128
2021-09-22T13:30:00+00:00,167.5500030517578,169.4499969482422,167.05250549316406,169.00250244140625,48228000,8150652687.744141
2021-09-23T13:30:00+00:00,169.00250244140625,171.447998046875,169.00250244140625,170.8000030517578,47588000,8128030545.227051
2021-09-24T13:30:00+00:00,170.10049438476562,171.46299743652344,169.6699981689453,171.2760009765625,42324000,7249085465.332031
2021-09-27T13:30:00+00:00,168.5749969482422,170.77850341796875,166.98049926757812,170.2899932861328,72690000,12378379611.968994
2021-09-28T13:30:00+00:00,167.885498046875,168.45950317382812,164.5050048828125,165.79800415039062,88616000,14692355935.791016
2021-09-29T13:30:00+00:00,166.10549926757812,167.56500244140625,164.89349365234375,165.05599975585938,51246000,8458459763.48877
2021-09-30T13:30:00+00:00,165.8000030517578,166.3925018310547,163.69949340820312,164.2519989013672,56848000,9337397633.544922
2021-10-01T13:30:00+00:00,164.45050048828125,165.45849609375,162.7969970703125,164.16299438476562,56712000,9310011737.548828
2021-10-04T13:30:00+00:00,163.96949768066406,163.99949645996094,158.8125,159.48899841308594,90462000,14427693774.44458
2021-10-05T13:30:00+00:00,160.22500610351562,163.0364990234375,160.1230010986328,161.0500030517578,65384000,10530093399.536133
2021-10-06T13:30:00+00:00,160.67649841308594,163.2169952392578,159.93099975585938,163.10049438476562,50660000,8262671045.532227
2021-10-07T13:30:00+00:00,164.57699584960938,166.28750610351562,164.1529998779297,165.1215057373047,48182000,7955884389.434814
2021-10-08T13:30:00+00:00,165.85000610351562,166.07150268554688,164.41000366210938,164.43099975585938,39964000,6571320474.243164
2021-10-11T13:30:00+00:00,163.75,164.62950134277344,161.90499877929688,162.31500244140625,40684000,6603623559.326172
2021-10-12T13:30:00+00:00,162.85000610351562,163.37649536132812,161.81399536132812,162.3665008544922,36392000,5908841699.09668
2021-10-13T13:30:00+00:00,163.48550415039062,164.41900634765625,163.05450439453125,164.21400451660156,48402000,7948286246.612549
2021-10-14T13:30:00+00:00,165.12249755859375,165.6300048828125,164.53900146484375,164.9929962158203,42190000,6961054510.345459
2021-10-15T13:30:00+00:00,165.5709991455078,170.52099609375,165.1999969482422,170.4510040283203,103598000,17658383115.325928
2021-10-18T13:30:00+00:00,169.41799926757812,172.45849609375,169.2550048828125,172.33700561523438,63482000,10940297790.466309
2021-10-19T13:30:00+00:00,171.71449279785156,172.7344970703125,171.10000610351562,172.20750427246094,47722000,8218086518.890381
2021-10-20T13:30:00+00:00,172.63299560546875,173.14300537109375,170.01849365234375,170.7530059814453,42796000,7307545643.981934
2021-10-21T13:30:00+00:00,170.71249389648438,172.01400756835938,170.14999389648438,171.75050354003906,37628000,6462627947.20459
2021-10-22T13:30:00+00:00,171.0500030517578,171.49200439453125,166.56500244140625,166.77749633789062,62782000,10470624775.08545
2021-10-25T13:30:00+00:00,166.75,167.38999938964844,164.88499450683594,166.01849365234375,44520000,7391143337.402344
2021-10-26T13:30:00+00:00,167.47549438476562,170.80599975585938,167.19900512695312,168.80349731445312,53966000,9109649536.071777
2021-10-27T13:30:00+00:00,169.39999389648438,171.85000610351562,168.57249450683594,169.62449645996094,54044000,9167186286.682129
2021-10-28T13:30:00+00:00,170.10499572753906,173.9499969482422,169.3000030517578,172.32850646972656,114174000,19675434897.67456
2021-10-29T13:30:00+00:00,165.00100708007812,168.74099731445312,163.66600036621094,168.6215057373047,129722000,21873918967.25464
2021-11-01T13:30:00+00:00,168.08999633789062,168.79299926757812,164.6009979248047,165.90550231933594,72178000,11974727346.40503
2021-11-02T13:30:00+00:00,165.75050354003906,166.55599975585938,164.17750549316406,165.6374969482422,52552000,8704581739.624023
2021-11-03T13:30:00+00:00,165.4499969482422,169.74600219726562,164.87600708007812,169.1999969482422,67944000,11496124592.651367
2021-11-04T13:30:00+00:00,168.5,174.93150329589844,168.25,173.85000610351562,107060000,18612381653.442383
2021-11-05T13:30:00+00:00,173.85000610351562,178.3125,173.8489990234375,175.94949340820312,99940000,17584392371.21582
2021-11-08T14:30:00+00:00,176.16200256347656,178.9499969482422,174.39300537109375,174.44900512695312,61480000,10725124835.205078
2021-11-09T14:30:00+00:00,175.7624969482422,179.68850708007812,175.07150268554688,178.81149291992188,85898000,15359549618.83545
2021-11-10T14:30:00+00:00,178.19349670410156,180.2725067138672,173.1544952392578,174.1024932861328,80548000,14023607629.211426
2021-11-11T14:30:00+00:00,175.64999389648438,177.16200256347656,173.37350463867188,173.625,45288000,7863129000.0
2021-11-12T14:30:00+00:00,174.25,177.0364990234375,172.3524932861328,176.25750732421875,53788000,9480538803.955078
2021-11-15T14:30:00+00:00,176.85000610351562,179.69400024414062,176.29049682617188,177.28399658203125,58594000,10387778495.72754
2021-11-16T14:30:00+00:00,176.9499969482422,178.8249969482422,176.25750732421875,177.03500366210938,44342000,7850086132.385254
2021-11-17T14:30:00+00:00,178.23599243164062,179.3625030517578,177.2675018310547,177.4499969482422,51206000,9086504543.73169
2021-11-18T14:30:00+00:00,178.3175048828125,185.2100067138672,178.0500030517578,184.80299377441406,114070000,21080477499.847412
2021-11-19T14:30:00+00:00,185.63450622558594,188.1074981689453,183.78599548339844,183.82850646972656,98734000,18150123757.781982
2021-11-22T14:30:00+00:00,183.81900024414062,185.67300415039062,178.375,178.6284942626953,96844000,17299097898.376465
2021-11-23T14:30:00+00:00,179.2519989013672,181.05250549316406,176.385498046875,179.0019989013672,73804000,13211063526.916504
2021-11-24T14:30:00+00:00,178.1334991455078,180.6820068359375,176.84249877929688,179.02049255371094,46560000,8335194133.300781
2021-11-26T14:30:00+00:00,180.10499572753906,181.6750030517578,175.20750427246094,175.22799682617188,59826000,10483190138.122559
2021-11-29T14:30:00+00:00,177.3820037841797,179.8000030517578,176.5749969482422,178.07850646972656,65312000,11630663414.550781
2021-11-30T14:30:00+00:00,178.1750030517578,179.2884979248047,174.60049438476562,175.35350036621094,80022000,14032137806.304932
2021-12-01T14:30:00+00:00,177.25,177.99400329589844,172.0800018310547,172.18600463867188,74916000,12899486723.510742
2021-12-02T14:30:00+00:00,173.0,174.63499450683594,171.1875,171.8679962158203,64726000,11124327923.065186
